zip,kitchen,type,subtype,price,bedrooms,living_area,terrace,terrace_area,landplot,facades,pool,building_state,city,province
1000,1,apartment,apartment,185000,1,38,0.0,nan,nan,3.0,0.0,good,Brussel,Brussels Hoofdstedelijk Gewest
1040,1,house,house,1150000,6,300,1.0,40.0,260.0,2.0,0.0,as new,Etterbeek,Brussels Hoofdstedelijk Gewest
1050,1,house,house,830000,4,282,0.0,nan,163.0,2.0,0.0,to be done up,Elsene,Brussels Hoofdstedelijk Gewest
1050,1,apartment,flat studio,323000,0,48,0.0,nan,nan,2.0,0.0,as new,Elsene,Brussels Hoofdstedelijk Gewest
1050,1,apartment,apartment,485000,1,70,1.0,16.0,nan,2.0,0.0,as new,Elsene,Brussels Hoofdstedelijk Gewest
1060,1,apartment,duplex,450000,3,135,0.0,nan,nan,3.0,0.0,good,Saint-Gilles,Brussels Hoofdstedelijk Gewest
1140,1,apartment,apartment,525000,3,131,1.0,14.0,nan,nan,0.0,as new,Evere,Brussels Hoofdstedelijk Gewest
1140,1,apartment,apartment,325000,1,76,1.0,6.0,nan,nan,0.0,as new,Evere,Brussels Hoofdstedelijk Gewest
1140,1,apartment,apartment,545000,3,140,1.0,13.0,nan,2.0,0.0,as new,Evere,Brussels Hoofdstedelijk Gewest
1140,1,apartment,apartment,545000,3,140,1.0,13.0,nan,nan,0.0,as new,Evere,Brussels Hoofdstedelijk Gewest
1150,1,apartment,penthouse,599000,3,180,1.0,10.0,nan,2.0,0.0,good,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk Gewest
1150,1,apartment,ground floor,599000,2,180,1.0,20.0,nan,2.0,0.0,good,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk Gewest
1150,1,apartment,penthouse,399000,2,117,0.0,nan,nan,3.0,0.0,just renovated,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk Gewest
1150,1,apartment,ground floor,599000,2,180,1.0,20.0,nan,2.0,0.0,good,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk Gewest
1160,1,apartment,penthouse,1495000,3,210,1.0,190.0,nan,4.0,0.0,as new,Auderghem,Brussels Hoofdstedelijk Gewest
1180,1,house,house,695000,4,185,1.0,nan,308.0,2.0,0.0,good,Uccle,Brussels Hoofdstedelijk Gewest
1180,1,apartment,apartment,575000,3,126,1.0,16.0,nan,nan,0.0,as new,Uccle,Brussels Hoofdstedelijk Gewest
1180,1,apartment,apartment,615000,3,145,1.0,20.0,nan,3.0,0.0,to renovate,Uccle,Brussels Hoofdstedelijk Gewest
1180,1,apartment,apartment,295000,2,92,1.0,7.0,nan,2.0,0.0,good,Uccle,Brussels Hoofdstedelijk Gewest
1180,1,apartment,apartment,499000,2,135,1.0,5.0,nan,3.0,0.0,good,Uccle,Brussels Hoofdstedelijk Gewest
1190,1,apartment,apartment,398500,2,91,1.0,12.0,nan,2.0,0.0,just renovated,Forest,Brussels Hoofdstedelijk Gewest
1200,1,apartment,apartment,359000,2,95,1.0,5.0,nan,2.0,0.0,as new,Sint-Lambrechts-Woluwe,Brussels Hoofdstedelijk Gewest
1400,1,apartment,apartment,218000,3,95,1.0,13.0,nan,4.0,0.0,to renovate,Nivelles,Brabant wallon
1410,1,apartment,apartment,658000,3,133,1.0,18.0,nan,2.0,0.0,as new,Waterloo,Brabant wallon
1700,1,house,town house,590000,4,290,1.0,nan,517.0,3.0,1.0,good,Dilbeek,Vlaams-Brabant
1760,1,house,house,360000,3,301,1.0,nan,545.0,3.0,0.0,good,Roosdaal,Vlaams-Brabant
1785,1,apartment,duplex,299000,2,115,1.0,9.0,nan,2.0,0.0,good,Merchtem,Vlaams-Brabant
1800,1,apartment,duplex,299000,2,143,1.0,34.0,nan,2.0,0.0,as new,Vilvoorde,Vlaams-Brabant
1970,1,house,house,329000,3,80,1.0,28.0,170.0,3.0,0.0,to be done up,Wezembeek-Oppem,Vlaams-Brabant
1970,1,house,house,329000,3,80,1.0,14.0,170.0,3.0,0.0,to be done up,Wezembeek-Oppem,Vlaams-Brabant
2000,1,house,house,439900,2,160,1.0,13.0,48.0,2.0,0.0,as new,Antwerpen,Antwerpen
2018,1,house,mansion,1250000,8,360,0.0,nan,173.0,2.0,0.0,good,Antwerpen,Antwerpen
2100,1,apartment,apartment,219000,2,91,1.0,3.0,nan,2.0,0.0,good,Antwerpen,Antwerpen
2100,1,house,house,314000,3,151,0.0,nan,136.0,2.0,0.0,good,Antwerpen,Antwerpen
2100,1,apartment,apartment,182500,2,85,0.0,nan,nan,2.0,0.0,good,Antwerpen,Antwerpen
2610,1,apartment,apartment,215000,1,71,0.0,nan,nan,2.0,0.0,just renovated,Antwerpen,Antwerpen
2800,1,apartment,apartment,481000,4,168,1.0,30.0,nan,2.0,0.0,as new,Mechelen,Antwerpen
2800,1,house,house,295000,2,172,1.0,nan,189.0,2.0,0.0,good,Mechelen,Antwerpen
2800,1,apartment,apartment,249000,1,70,1.0,4.0,nan,2.0,0.0,good,Mechelen,Antwerpen
2830,1,apartment,apartment,185250,2,83,1.0,nan,nan,2.0,0.0,to be done up,Willebroek,Antwerpen
3020,1,house,house,359000,4,348,0.0,nan,314.0,2.0,0.0,good,Herent,Vlaams-Brabant
3020,1,house,mixed use building,359000,4,348,0.0,nan,314.0,2.0,0.0,good,Herent,Vlaams-Brabant
3060,1,house,house,298000,4,112,1.0,24.0,450.0,4.0,0.0,to be done up,Bertem,Vlaams-Brabant
3220,1,house,villa,579000,4,225,1.0,18.0,1103.0,4.0,0.0,good,Holsbeek,Vlaams-Brabant
4020,0,apartment,penthouse,350000,3,214,0.0,nan,nan,2.0,0.0,to be done up,Liège,Liège
4030,1,apartment,apartment,239000,2,100,1.0,20.0,nan,2.0,0.0,to be done up,Liège,Liège
4031,1,house,house,249000,1,95,0.0,nan,149.0,2.0,0.0,just renovated,Liège,Liège
4040,1,house,house,164000,4,167,1.0,80.0,90.0,3.0,0.0,to be done up,Herstal,Liège
4050,1,apartment,penthouse,265000,1,63,1.0,8.0,nan,2.0,0.0,as new,Chaudfontaine,Liège
4100,1,house,house,144000,2,105,1.0,nan,105.0,2.0,0.0,good,Seraing,Liège
4340,1,apartment,apartment,167500,1,54,0.0,nan,nan,2.0,0.0,good,Awans,Liège
4460,1,house,house,199000,3,133,1.0,65.0,583.0,2.0,0.0,good,Grâce-Hollogne,Liège
4520,1,house,house,385000,7,350,1.0,30.0,1199.0,4.0,0.0,good,Wanze,Liège
4590,1,apartment,duplex,179000,2,105,1.0,15.0,nan,nan,0.0,good,Ouffet,Liège
4682,1,house,house,199000,4,130,0.0,nan,350.0,2.0,0.0,good,Oupeye,Liège
4682,1,house,house,149000,3,138,1.0,20.0,571.0,3.0,0.0,to renovate,Oupeye,Liège
4960,1,house,apartment block,299000,2,167,0.0,nan,95.0,2.0,0.0,good,Malmedy,Liège
