city,zip,kitchen,type,subtype,price,saletype,bedrooms,living_area,terrace,terrace_area,garden,garden_area,landplot,facades,pool,ID,building_state,URL
Aalst,9300,1,house,house,159000,,2,81,1,,1,70,120,2,,10828460,to be done up,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10828460
Oupeye,4682,1,house,house,149000,,3,138,1,20,1,390,571,3,,10823978,to renovate,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10823978
Grace-Hollogne,4460,1,house,house,199000,,3,133,1,65,1,470,583,2,,10823979,good,https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/10823979
Ronse,9600,1,house,house,289000,,3,156,,,1,350,555,3,,10823777,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10823777
Deurne,2100,1,house,house,314000,,3,151,,,1,60,136,2,,10823722,good,https://www.immoweb.be/en/classified/house/for-sale/deurne/2100/10823722
MOHA,4520,1,house,house,385000,,7,350,1,30,,,1199,4,,10824516,good,https://www.immoweb.be/en/classified/house/for-sale/moha/4520/10824516
Erpe-Mere,9420,1,house,house,498000,,4,205,1,,,,663,3,,10823494,as new,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10823494
Aalst,9300,1,house,house,679000,,5,370,1,,,,961,4,,10823496,as new,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10823496
Oupeye,4682,1,house,house,199000,,4,130,,,1,155,350,2,,10821092,good,https://www.immoweb.be/en/classified/house/for-sale/oupeye/4682/10821092
Geraardsbergen,9500,1,house,house,237500,,3,125,,,,,58,2,,10821645,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10821645
Herent,3020,1,house,mixed use building,359000,,4,348,,,1,128,314,2,,10472547,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herent/3020/10472547
Herent,3020,1,house,house,359000,,4,348,,,1,128,314,2,,10472546,good,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10472546
Gent,9000,1,apartment,penthouse,469000,,3,115,1,12,,,,4,,10824915,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/10824915
Evere,1140,1,apartment,apartment,525000,,3,131,1,14,,,,,,10829873,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10829873
Uccle,1180,1,apartment,apartment,575000,,3,126,1,16,,,,,,10639202,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10639202
Mechelen,2800,1,house,house,295000,,2,172,1,,,,189,2,,10828802,good,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10828802
Auderghem,1160,1,apartment,penthouse,1495000,,3,210,1,190,,,,4,,10828566,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/auderghem/1160/10828566
Waterloo,1410,1,apartment,apartment,658000,,3,133,1,18,,,,2,,10826308,as new,https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/10826308
Wezembeek-Oppem,1970,1,house,house,329000,,3,80,1,14,1,60,170,3,,10827696,to be done up,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10827696
Wezembeek-Oppem,1970,1,house,house,329000,,3,80,1,28,1,60,170,3,,10828745,to be done up,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10828745
Roosdaal,1760,1,house,house,360000,,3,301,1,,,,545,3,,10825693,good,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693
Malmedy,4960,1,house,apartment block,299000,,2,167,,,,,95,2,,10826180,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/malmedy/4960/10826180
