city,zip,kitchen,type,subtype,price,saletype,bedrooms,living_area,terrace,terrace_area,garden,garden_area,land_area,facades,pool,ID,building_state,URL
Bertem,3060,1,house,house,298000,,4,112,1,24,1,272,450,4,,10825503,to be done up,https://www.immoweb.be/en/classified/house/for-sale/bertem/3060/10825503
Geraardsbergen,9500,1,house,house,237500,,3,125,,,,,58,2,,10821645,just renovated,https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/10821645
MOHA,4520,1,house,house,385000,,7,350,1,30,,,1199,4,,10824516,good,https://www.immoweb.be/en/classified/house/for-sale/moha/4520/10824516
Nivelles,1400,1,house,mansion,420000,,5,250,1,40,1,500,770,3,,10821550,to renovate,https://www.immoweb.be/en/classified/mansion/for-sale/nivelles/1400/10821550
Seneffe,7180,1,house,mansion,420000,,5,250,1,40,1,500,770,3,,10821548,to renovate,https://www.immoweb.be/en/classified/mansion/for-sale/seneffe/7180/10821548
Etterbeek,1040,1,house,mansion,950000,,5,280,,,1,150,240,2,,10821898,as new,https://www.immoweb.be/en/classified/mansion/for-sale/etterbeek/1040/10821898
Ronse,9600,1,house,house,175000,,4,236,,,1,75,200,2,,10818318,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10818318
Herent,3020,1,house,mixed use building,359000,,4,348,,,1,128,314,2,,10472547,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herent/3020/10472547
Herent,3020,1,house,house,359000,,4,348,,,1,128,314,2,,10472546,good,https://www.immoweb.be/en/classified/house/for-sale/herent/3020/10472546
Bierbeek,3360,1,house,house,548000,,3,269,1,,1,900,4429,3,,10819803,good,https://www.immoweb.be/en/classified/house/for-sale/bierbeek/3360/10819803
Uccle,1180,1,house,house,595000,,5,230,1,11,1,43,150,2,,10792798,to be done up,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10792798
Gent,9000,1,apartment,penthouse,469000,,3,115,1,12,,,,4,,10824915,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/gent/9000/10824915
Uccle,1180,1,apartment,apartment,575000,,3,126,1,16,,,,,,10639202,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10639202
Gent,9000,1,apartment,apartment,315000,,2,88,1,6,,,,2,,10825616,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825616
Gent,9000,1,apartment,apartment,225000,,1,60,,,,,,2,,10825078,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825078
Gent,9000,1,apartment,apartment,290000,,1,76,1,9,,,,2,,10825079,good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10825079
Roosdaal,1760,1,house,house,360000,,3,301,1,,,,545,3,,10825693,good,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10825693
